2026/04/29 03:06:21 [error] 243662#243662: *1829 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:21 [error] 243662#243662: *1831 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:06:21 [error] 243662#243662: *1833 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:06:24 [error] 243662#243662: *1835 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:27 [error] 243662#243662: *1837 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:30 [error] 243662#243662: *1839 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:33 [error] 243662#243662: *1841 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:36 [error] 243662#243662: *1843 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=42&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=42&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:06:39 [error] 243662#243662: *1845 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:06:39 [error] 243662#243662: *1847 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:06:46 [error] 243662#243662: *1849 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080"
2026/04/29 03:07:09 [error] 243662#243662: *1851 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/1 HTTP/1.1", upstream: "http://127.0.0.1:8084/ws/1", host: "localhost:8080"
2026/04/29 03:55:09 [error] 243662#243662: *2018 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/friends/accepted HTTP/1.1", upstream: "http://127.0.0.1:8082/api/friends/accepted", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:55:09 [error] 243662#243662: *2016 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/feed"
2026/04/29 03:55:19 [error] 243662#243662: *2020 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:19 [error] 243662#243662: *2022 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:20 [error] 243662#243662: *2024 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:20 [error] 243662#243662: *2026 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:21 [error] 243662#243662: *2028 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:21 [error] 243662#243662: *2030 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:21 [error] 243662#243662: *2032 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:21 [error] 243662#243662: *2033 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:22 [error] 243662#243662: *2036 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:22 [error] 243662#243662: *2038 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:22 [error] 243662#243662: *2040 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:22 [error] 243662#243662: *2042 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:22 [error] 243662#243662: *2044 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:23 [error] 243662#243662: *2046 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:23 [error] 243662#243662: *2048 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 03:55:27 [error] 243662#243662: *2050 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
